round,local_accuracy,federated_accuracy
1,48.2500,15.7300
2,48.5400,66.2700
3,48.8500,77.0800
4,49.1600,80.4900
5,49.4100,82.6200
6,50.0000,82.9800
7,51.8800,84.1000
8,52.6100,84.6500
9,53.1800,85.2000
10,53.5600,86.1000
11,53.0900,85.3600
12,54.1600,86.5300
13,54.4200,86.9500
14,54.3800,87.1700
15,54.7000,87.4200
16,54.7800,87.5800
17,54.8400,87.5700
18,55.0500,88.0900
19,55.1100,88.2500
20,55.1400,88.3300
