strategy,runs,errors_total,wall_sec,throughput_rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,accuracy
round_robin,3,0,0.3440,8721.2100,1.7498,0.4843,5.6063,5.7317,95.6667
least_connections,3,0,0.2115,14187.0667,1.0451,0.8097,1.8330,6.1273,95.6667
response_time,3,0,0.2344,12802.7667,1.1805,1.1027,1.9297,3.5363,95.6667
random,3,0,0.3486,8605.7933,1.7677,0.5050,5.6480,5.9540,95.6667
